Tahun,Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking
2019,malang - wagir,4,97,990,4792,5,3779,1100,108,1269,2363,5925,461
2019,malang - dau,4,65,972,5519,0,7607,667,113,1589,2319,5717,500
2019,malang - karang ploso,4,51,1088,7469,60,7147,1200,112,1225,2595,6088,419
2019,malang - singosari,5,59,1031,4084,0,4713,667,117,1423,2460,6372,333
2019,malang - lawang,5,38,1145,3529,2,3654,667,105,1650,2732,6834,172
2019,malang - pujon,4,93,1201,2449,5,4348,667,113,1452,2866,5710,502
2019,malang - ngantang,4,53,1273,3442,0,4493,600,120,1994,3037,6110,411
2019,malang - kasembon,4,20,1224,7008,1,9661,600,111,1288,2920,6070,429
2019,malang - gedangan,4,36,1284,9009,2,3972,100,115,1858,3063,6028,437
2019,malang - tirtoyudo,5,32,1210,5573,4,4166,276,109,1193,2886,6719,204
2019,malang - kromengan,5,34,1161,6149,0,4167,276,110,1746,2769,6468,304
2019,malang - wonosari,5,50,1095,6517,3,2786,276,114,1791,2611,6351,343
2019,malang - pagelaran,5,48,1315,6660,0,3569,600,107,1106,3138,6445,310
2019,lumajang - tempursari,5,23,1028,4197,36,6466,667,124,1612,3511,6594,249
2019,lumajang - pronojiwo,4,47,1071,6353,0,9858,667,121,1466,3658,5465,533
2019,lumajang - candipuro,5,21,1391,6382,63,2262,200,130,1682,4750,6556,265
2019,lumajang - pasirian,5,21,1238,5479,17,4585,667,125,1419,4228,6678,216
2019,lumajang - tempeh,5,21,1183,5283,40,7130,1200,116,1179,4039,6633,236
2019,lumajang - kunir,5,35,1386,4459,10,0,419,111,1457,4734,6965,126
2019,lumajang - yosowilangun,5,18,1253,4820,3,2882,419,122,783,4281,7206,68
2019,lumajang - rowokangkung,5,15,1236,4016,0,4531,419,122,1168,4221,6955,130
2019,lumajang - tekung,6,15,1028,2262,0,1098,600,121,1105,3511,7894,6
2019,lumajang - lumajang,5,50,1028,5656,2,7507,1200,117,1186,3511,6123,408
2019,lumajang - pasrujambe,4,34,1391,5638,0,6569,600,115,1734,4750,5839,471
2019,lumajang - senduro,3,108,1211,5278,75,6382,800,117,1388,4135,4749,585
2019,lumajang - gucialit,3,125,1337,5400,5,6778,200,105,1211,4565,4155,602
